,dataset,min_age_months,max_age_months,languages,monolingual,multilingual,normative,non_normative,male,female
0,timor-leste2024,6.7351129363449695,85.05954825462013,"{'': 341, 'Lolein': 3, 'Kemak': 17, 'Makasai': 60, 'Fataluku': 3, 'Tetun_Prasa': 116, 'Naueti': 37, 'Lakalei': 2, 'Bekais': 4, 'Baikenu': 4, 'Kairui': 7, 'Makalero': 5, 'Tetun_Terik': 59, 'Mambai': 60, 'Idate': 8, 'Bunak': 47, 'Midiki': 3, 'Galoli': 4}",221,122,343.0,0.0,179,164
1,forrester,12.02464065708419,45.667351129363446,{'english': 1},1,0,1.0,0.0,0,1
2,timor-leste2022,1.1498973305954825,57.95482546201232,"{'': 288, 'Lolein': 1, 'Kemak': 5, 'Makasai': 35, 'Habun': 2, 'Fataluku': 4, 'Tetun-Prasa': 138, 'Naueti': 28, 'Tokodede': 2, 'Makalero': 7, 'Kairui': 8, 'Baikenu': 5, 'Mambai': 16, 'Idate': 3, 'Bunak': 35, 'Midiki': 3, 'Tetun-Terik': 50, 'Galoli': 2}",231,57,288.0,0.0,148,140
3,soderstrom,4.9281314168377826,12.878850102669405,{'english': 2},2,0,2.0,0.0,2,0
4,bergelson,6.04517453798768,17.018480492813143,{},44,0,44.0,0.0,24,20
5,warlaumont,2.6940451745379876,18.26694045174538,"{'english': 15, 'sahaptin': 1, 'spanish': 3, 'german': 1}",11,4,15.0,0.0,9,6
6,png2016,0.3942505133470226,57.5605749486653,"{'misima': 1, 'sudest': 2, 'ferguson': 1, 'basilaki': 2, 'english': 13, 'suau': 2, 'kiriwina': 1, 'yélî-dnye': 57, 'goodenough': 1, 'tawala': 4}",44,13,55.0,2.0,34,23
7,providence,11.137577002053389,48.06570841889117,{'english': 6},6,0,5.0,1.0,3,3
8,lyon,2.858316221765914,41.29774127310061,{'french': 16},16,0,16.0,0.0,8,8
9,png2019,3.02258726899384,79.01437371663245,{'yélî-dnye': 60},41,6,47.0,0.0,31,29
10,tsimanem2018,7.227926078028747,70.76796714579055,{'tsimane': 28},28,0,28.0,0.0,12,16
11,fausey-trio,6.308008213552362,12.254620123203285,{'english': 28},0,0,28.0,0.0,0,0
12,oshikoto2025-petrovic,2.0698151950718686,31.67145790554415,"{'Khewdam': 8, 'Haillom': 26}",0,0,34.0,0.0,12,22
13,solomon,4.008213552361396,48.0,{'NA': 209},0,209,209.0,0.0,108,97
14,japanese-tsuji2024,8.969199178644764,17.93839835728953,{'japanese': 41},0,0,41.0,0.0,0,0
15,tseltal2015,1.839835728952772,47.671457905544145,"{'tseltal': 55, 'spanish': 2}",53,2,55.0,0.0,25,30
16,ticuna2018,11.991786447638603,48.85420944558521,{'ticuna': 46},0,0,46.0,0.0,19,27
17,lucid,10.973305954825461,31.967145790554415,{'english': 35},35,0,35.0,0.0,18,17
18,tsimane2017,5.782340862422998,68.23819301848049,{'tsimane': 27},27,0,,,17,10
19,tsay,12.91170431211499,63.605749486652975,{'minnan': 7},0,0,7.0,0.0,0,0
20,vanuatu,5.026694045174538,51.318275154004105,"{'novol': 2, 'tautu': 17, 'ambae': 1, 'south': 1, 'neverver': 1, 'atchin': 2, 'santo_language': 2, 'pinalum': 1, 'malo': 1, 'rano': 4, 'french': 6, 'epi': 1, 'vinmavis': 1, 'petarmul': 3, 'tempun': 1, 'bislama': 39, 'maevo': 1, 'ninde': 2, 'uripiv': 1, 'venen_taut': 13, ""nah'ai"": 1, 'paama': 2}",2,38,40.0,0.0,16,24
21,winnipeg,2.004106776180698,33.97125256673511,{},12,0,11.0,1.0,6,6
22,babylogger-vs-lena-data,5.880903490759754,18.069815195071868,{'french': 14},14,0,14.0,0.0,8,6
23,thomas,24.37782340862423,70.99794661190965,{'english': 1},1,0,1.0,0.0,1,0
24,quechua,5.650924024640657,84.96098562628337,"{'Spanish': 48, 'Quechua': 51}",3,48,51.0,0.0,26,25
25,phonSES,10.809034907597535,11.893223819301848,{'french': 10},6,3,10.0,0.0,5,5
26,israel-natovich,15.342915811088295,32.09856262833676,{'hebrew': 20},20,0,20.0,0.0,8,12
27,cougar,0.4928131416837782,90.71047227926078,{'english': 91},91,0,34.0,57.0,42,49
