,dataset,set,annotated_total_duration_min,sampled_total_duration_min,num_of_segments_non_empty,num_of_samples
0,bergelson,eaf/an1,22.793,302.0,1272,151
2,bergelson,eaf/reliability,0.967,10.0,74,10
1,bergelson,eaf_high_volubility,39.78,300.0,2227,150
40,cougar,eaf_2023/AM,250.893,390.0,12508,78
41,cougar,eaf_2023/JN,208.512,300.0,10245,60
27,lucid,eaf/an1,25.967,300.0,1946,150
28,lucid,eaf/reliability,0.962,10.0,74,10
29,lucid,eaf_hv,48.723,300.0,3439,150
8,lyon,eaf_2021_conv/EC,31.554,36.0,1311,180
9,lyon,eaf_2021_conv/JC,34.008,40.0,1402,200
10,lyon,eaf_2021_conv/MA,27.511,35.8,1222,179
11,lyon,eaf_2022/AM,13.458,8.386,580,41
12,lyon,eaf_2022/CA,137.032,81.4,5748,407
13,lyon,eaf_2022/ER,132.826,64.4,4638,322
14,lyon,eaf_2022/LL,121.043,64.4,4580,322
15,lyon,eaf_2022/PC,141.083,81.4,5992,407
6,png2016,eaf_2016,56.818,374.233,4313,206
7,png2016,eaf_2016/reliability,0.898,10.0,69,10
16,solomon,eaf_2023/AH,6.019,8.0,216,8
17,solomon,eaf_2023/DD,6.793,10.0,256,10
18,solomon,eaf_2023/LJB,20.588,54.0,971,54
19,solomon,eaf_2023/RC,12.402,38.0,644,38
20,solomon,eaf_2023/SM,4.462,11.0,238,11
21,solomon,solis/BC,14.203,59.0,675,59
22,solomon,solis/LD,5.194,15.0,175,15
23,solomon,solis/NK,53.674,161.0,3653,161
24,solomon,solis/NM,36.569,88.0,1668,88
25,tseltal2015,eaf_2015,47.354,395.85,3402,203
26,tseltal2015,eaf_2015/reliability,0.79,10.0,76,10
30,tsimane2017,eaf/nk,17.131,88.0,922,88
31,tsimane2017,eaf_2024/DFGB,89.179,486.0,3721,486
32,vanuatu,eaf_2023/AD,25.352,14.4,1440,72
33,vanuatu,eaf_2023/AM,29.325,14.4,1830,72
34,vanuatu,eaf_2023/HM,29.891,14.4,1481,72
35,vanuatu,eaf_2023/MC,28.652,14.4,1538,72
36,vanuatu,eaf_2023/MR,20.079,14.4,1026,72
3,warlaumont,eaf/an1,26.14,302.0,1755,151
4,warlaumont,eaf/reliability,1.746,10.0,86,10
5,warlaumont,eaf_hv,33.343,212.0,1948,106
37,winnipeg,eaf/an1,21.185,300.0,1554,150
38,winnipeg,eaf/reliability,0.429,9.0,28,9
39,winnipeg,eaf_hv,22.525,168.0,1670,84
